code,naam,niveau,indicator,jaar,waarde
Oost,Genk-Oost,campagnebuurt,screening,2020,0.4948
Oost,Genk-Oost,campagnebuurt,screening,2021,0.51
Oost,Genk-Oost,campagnebuurt,screening,2022,0.4978
Oost,Genk-Oost,campagnebuurt,screening,2023,0.5008
Oost,Genk-Oost,campagnebuurt,screening,2024,0.4975
West,Genk-West,campagnebuurt,screening,2020,0.5304
West,Genk-West,campagnebuurt,screening,2021,0.5508
West,Genk-West,campagnebuurt,screening,2022,0.5392
West,Genk-West,campagnebuurt,screening,2023,0.5614
West,Genk-West,campagnebuurt,screening,2024,0.563
Centrum,Genk-Centrum,campagnebuurt,screening,2020,0.5547
Centrum,Genk-Centrum,campagnebuurt,screening,2021,0.5607
Centrum,Genk-Centrum,campagnebuurt,screening,2022,0.547
Centrum,Genk-Centrum,campagnebuurt,screening,2023,0.5493
Centrum,Genk-Centrum,campagnebuurt,screening,2024,0.552
Genk,Genk,referentie,screening_leeftijd_25_29,2024,0.547
Genk,Genk,referentie,screening_leeftijd_30_34,2024,0.646
Genk,Genk,referentie,screening_leeftijd_35_39,2024,0.629
Genk,Genk,referentie,screening_leeftijd_40_44,2024,0.598
Genk,Genk,referentie,screening_leeftijd_45_49,2024,0.596
Genk,Genk,referentie,screening_leeftijd_50_54,2024,0.546
Genk,Genk,referentie,screening_leeftijd_55_59,2024,0.467
Genk,Genk,referentie,screening_leeftijd_60_64,2024,0.444
Limburg,Limburg,referentie,screening_leeftijd_25_29,2024,0.561
Limburg,Limburg,referentie,screening_leeftijd_30_34,2024,0.662
Limburg,Limburg,referentie,screening_leeftijd_35_39,2024,0.647
Limburg,Limburg,referentie,screening_leeftijd_40_44,2024,0.625
Limburg,Limburg,referentie,screening_leeftijd_45_49,2024,0.608
Limburg,Limburg,referentie,screening_leeftijd_50_54,2024,0.565
Limburg,Limburg,referentie,screening_leeftijd_55_59,2024,0.498
Limburg,Limburg,referentie,screening_leeftijd_60_64,2024,0.439
Vlaanderen,Vlaanderen,referentie,screening_leeftijd_25_29,2024,0.598
Vlaanderen,Vlaanderen,referentie,screening_leeftijd_30_34,2024,0.691
Vlaanderen,Vlaanderen,referentie,screening_leeftijd_35_39,2024,0.679
Vlaanderen,Vlaanderen,referentie,screening_leeftijd_40_44,2024,0.66
Vlaanderen,Vlaanderen,referentie,screening_leeftijd_45_49,2024,0.64
Vlaanderen,Vlaanderen,referentie,screening_leeftijd_50_54,2024,0.601
Vlaanderen,Vlaanderen,referentie,screening_leeftijd_55_59,2024,0.529
Vlaanderen,Vlaanderen,referentie,screening_leeftijd_60_64,2024,0.463
